thread server,thread client,epoll server,epoll client
187,178,27,66
428,133,29,54
123,131,15,49
123,130,37,49
105,96,8,47
108,89,15,54
93,93,15,52
100,82,22,53
102,94,12,49
29,106,18,59
126,108,12,44
98,109,27,55
93,93,11,50
108,103,16,57
148,117,14,54
205,126,25,57
140,142,13,67
139,126,16,65
107,128,15,74
112,110,24,46
120,95,19,46
95,107,38,47
86,121,16,46
86,89,34,46
84,88,8,52
100,100,18,50
98,114,17,51
94,114,27,53
103,117,13,62
101,111,17,50
95,108,15,54
118,108,28,45
102,111,11,49
104,117,22,53
148,108,18,54
117,114,30,59
105,107,9,46
102,105,19,67
6,136,21,56
147,116,30,49
111,110,11,51
109,116,22,62
84,123,18,55
84,107,31,54
81,107,14,59
93,103,16,65
99,105,22,53
109,112,25,54
85,112,8,51
79,105,16,50
85,104,12,50
89,104,29,49
89,110,12,49
93,104,16,73
100,105,12,49
96,100,28,47
95,107,8,47
91,111,16,48
105,91,12,51
88,73,29,51
80,68,8,46
78,69,15,47
82,68,12,50
76,72,28,47
79,70,7,51
116,71,16,48
37,101,12,49
138,131,28,48
112,118,7,48
107,110,15,50
93,103,12,55
113,105,33,46
100,96,8,49
5,114,27,46
7,117,12,48
235,133,28,51
110,103,7,58
112,108,16,80
114,119,18,78
30,110,42,67
144,113,21,67
178,147,30,70
173,203,17,68
156,159,45,77
165,434,11,72
114,135,20,67
259,261,12,67
153,153,36,68
133,127,21,72
136,120,16,75
148,164,34,75
148,122,9,74
111,129,20,74
118,131,17,88
111,111,32,123
108,110,10,93
113,106,21,85
108,103,15,107
119,130,42,127
110,129,19,92
111,120,14,81
105,110,45,82
102,110,12,86
104,129,21,65
90,108,17,60
86,113,75,45
86,110,19,51
84,115,22,63
99,107,19,55
146,112,35,50
89,113,15,50
94,108,18,66
87,111,12,56
137,136,31,61
104,126,12,71
104,113,19,75
101,125,16,75
121,109,27,72
114,110,14,51
107,105,19,60
101,106,16,60
111,110,29,60
6,114,22,58
151,126,16,60
117,111,15,59
99,120,17,66
125,114,12,59
137,106,19,58
139,98,13,60
143,103,61,61
256,190,7,61
161,187,15,68
170,128,11,63
139,154,39,72
95,124,8,68
93,96,16,66
133,103,13,58
105,107,30,59
107,107,9,63
102,100,16,59
108,107,12,60
114,103,29,51
100,100,7,53
123,108,16,52
92,105,12,64
89,97,29,68
91,97,14,54
97,94,16,58
126,118,12,76
114,104,28,71
91,101,7,78
85,103,15,69
93,98,11,67
88,108,35,74
111,100,8,77
109,96,15,77
104,106,12,56
101,101,29,69
98,106,10,75
101,114,15,65
102,100,12,72
107,103,28,62
134,115,7,75
266,157,16,75
106,103,12,79
95,105,28,69
96,102,7,82
130,123,15,103
201,153,11,100
180,120,28,79
134,96,13,74
155,89,15,90
120,99,12,81
103,98,28,74
147,132,8,76
120,123,15,87
98,120,12,77
86,106,28,68
125,104,7,77
105,110,15,77
107,122,11,75
94,119,27,77
105,103,12,74
101,104,16,70
90,113,16,72
96,115,28,75
86,113,9,74
94,110,15,76
123,98,12,74
94,104,28,70
159,115,8,66
124,115,16,76
108,120,11,64
96,114,29,77
97,110,9,64
118,104,16,78
102,83,11,68
101,86,28,75
100,83,7,75
99,89,15,74
109,116,12,75
99,107,27,77
87,106,7,65
89,98,16,72
87,95,12,76
90,99,28,68
143,101,7,76
126,116,15,76
209,136,12,76
207,148,27,73
124,111,8,66
117,128,16,72
118,114,12,70
122,143,27,61
120,111,21,54
124,114,16,51
109,104,12,45
122,118,28,92
120,101,14,60
118,84,16,62
109,78,12,53
102,78,27,49
110,81,8,52
103,103,15,50
95,90,11,51
89,88,27,53
103,102,8,49
88,106,16,49
110,131,11,50
93,96,27,50
106,93,7,51
110,95,15,61
105,76,11,66
129,96,28,62
108,77,14,102
93,76,14,107
92,69,12,92
101,75,28,139
91,96,12,122
85,107,16,77
79,104,12,111
81,97,28,85
79,96,8,73
86,99,16,78
96,76,11,77
106,77,26,57
110,82,8,51
90,104,16,49
98,102,12,51
92,97,28,50
167,122,8,50
123,144,15,52
95,111,12,49
113,105,28,53
94,103,8,59
89,105,15,47
102,102,12,46
109,116,28,58
104,104,8,47
92,105,15,47
95,87,12,55
100,88,33,50
89,84,9,49
87,78,15,50
90,81,12,53
92,106,28,50
97,84,13,50
87,84,16,50
87,85,12,51
84,77,28,56
84,76,8,71
90,77,15,68
83,79,12,62
85,81,27,58
109,105,7,46
101,108,16,48
144,113,12,45
120,107,28,47
115,123,19,46
109,131,14,49
102,124,12,47
113,106,28,47
108,101,7,57
115,110,15,48
161,111,12,47
117,104,28,55
97,96,10,53
95,89,16,51
102,92,11,56
117,106,29,53
115,112,7,58
113,99,16,60
100,110,12,73
110,99,27,75
105,103,7,71
120,97,15,74
87,91,11,74
92,90,27,71
100,77,8,73
86,81,16,71
83,79,12,82
95,109,28,75
85,77,7,82
108,83,15,81
89,94,11,73
89,111,29,60
